"id" "group" "trial" "blockNumber" "retroCueCond" "duration" "deviation" "recallError" "attentionRating" "ratingRT" "Rating" "Cue"
"7571" "before" 0 "3" 0 1688.78800000087 -22 22 5 1445.45600000047 "Before Test" "None"
"7571" "before" 0 "4" 1 724.494000000414 -87 87 7 1180.24700000091 "Before Test" "Valid"
"7571" "before" 1 "1" 1 1148.81200000003 -55 55 9 1180.48000000045 "Before Test" "Valid"
"7571" "before" 10 "3" 0 1400.02099999948 -6 6 7 995.214999999851 "Before Test" "None"
"7571" "before" 12 "1" 0 2680.71600000071 160 160 9 980.878000000841 "Before Test" "None"
"7571" "before" 12 "2" 0 3238.4160000002 -117 117 6 1352.11900000065 "Before Test" "None"
"7571" "before" 12 "3" 0 1167.71200000099 77 77 5 1293.35400000098 "Before Test" "None"
"7571" "before" 2 "1" -1 1022.57100000058 81 81 9 621.124000000302 "Before Test" "Invalid"
"7571" "before" 2 "2" 1 1811.60600000003 -6 6 8 1048.64600000018 "Before Test" "Valid"
"7571" "before" 20 "1" 1 1425.63300000061 -6 6 9 968.390000000247 "Before Test" "Valid"
"7571" "before" 20 "4" 0 1769.16599999974 -27 27 6 1339.86100000096 "Before Test" "None"
"7571" "before" 26 "4" 0 1218.4860000005 96 96 8 4193.56099999975 "Before Test" "None"
"7571" "before" 27 "4" 1 1549.89400000055 -2 2 7 874.359000001336 "Before Test" "Valid"
"7571" "before" 29 "2" 1 1126.9180000003 -32 32 5 1143.71900000039 "Before Test" "Valid"
"7571" "before" 3 "1" 0 4099.49500000034 -50 50 9 949.467999999877 "Before Test" "None"
"7571" "before" 3 "4" 1 1077.66900000139 -149 149 6 843.053000001237 "Before Test" "Valid"
"7571" "before" 30 "2" 1 989.101000000257 -13 13 6 1428.8340000005 "Before Test" "Valid"
"7571" "before" 31 "2" 0 1852.19400000013 -113 113 5 1301.90900000045 "Before Test" "None"
"7571" "before" 31 "3" 1 1623.41999999969 2 2 7 9134.18000000063 "Before Test" "Valid"
"7571" "before" 32 "2" 0 1398.21900000004 120 120 6 1101.57800000021 "Before Test" "None"
"7571" "before" 32 "3" -1 3240.23899999983 161 161 8 4586.20799999987 "Before Test" "Invalid"
"7571" "before" 33 "3" 1 1137.19800000009 5 5 8 1453.59400000074 "Before Test" "Valid"
"7571" "before" 34 "4" 0 1271.53100000112 94 94 6 1224.25900000101 "Before Test" "None"
"7571" "before" 35 "1" 0 1428.49200000032 70 70 6 1423.25100000028 "Before Test" "None"
"7571" "before" 35 "2" -1 1008.16100000008 -69 69 8 1382.18700000085 "Before Test" "Invalid"
"7571" "before" 37 "1" 1 1104.973 123 123 7 1607.5810000007 "Before Test" "Valid"
"7571" "before" 38 "4" 0 1388.59299999988 -56 56 6 857.557999999961 "Before Test" "None"
"7571" "before" 39 "1" -1 1048.69000000041 144 144 8 1268.33500000031 "Before Test" "Invalid"
"7571" "before" 39 "4" -1 1117.72200000077 75 75 8 972.470999999903 "Before Test" "Invalid"
"7571" "before" 42 "3" 0 976.398000000743 -15 15 5 1693.09500000067 "Before Test" "None"
